epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.275,0.79392,2.12689,1.24835,0.59081,0.44494,0.49316,0.35885,0.86785,2.47131,1.25566,0.000548721,0.000548721,0.000548721
2,905.544,0.91473,1.79709,1.33164,0.48432,0.47993,0.45366,0.32569,1.14515,2.04925,1.55679,0.00108252,0.00108252,0.00108252
3,1346.62,1.00626,1.80621,1.41127,0.33341,0.42148,0.3203,0.22935,1.17361,2.39358,1.73133,0.00159432,0.00159432,0.00159432
4,1789.49,0.99289,1.72342,1.40793,0.41482,0.44621,0.38361,0.26052,1.24119,2.12869,1.68535,0.00156798,0.00156798,0.00156798
